symbol,voc,son,cont,voice,nasal,cor,ant,strid,lat,back,low,high,round,distr,tense,del_rel,glot_cl,hi_subgl_pr,mv_glot_cl,LONG,EXTRA
aa,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
aan,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ae,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
aen,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ah,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ahn,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ao,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
aon,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
aw,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
awn,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0
ay,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
ayn,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
b,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ch,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
d,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dh,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
dx,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
eh,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ehn,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
em,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
en,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ey,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
eyn,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
f,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
g,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
hh,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
ih,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ihn,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
iy,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
iyn,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
jh,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
k,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
l,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
m,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
n,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ng,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
nx,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ow,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
own,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
oy,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
oyn,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
p,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
r,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
s,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
sh,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
t,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
th,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
tq,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0
uh,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
uhn,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
uw,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
uwn,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
v,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
w,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
y,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
z,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
zh,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
er,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ern,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
